Date and Time,Temp. (Â°C)
2018-04-18,21.353715277777777
2018-04-19,21.31658450704225
2018-04-20,22.221908127208483
2018-04-21,19.976770833333354
2018-04-22,20.0165625
2018-04-23,19.780316901408455
2018-04-24,16.896105263157892
2018-04-25,16.758885017421626
2018-04-26,15.101529411764712
2018-04-27,19.852991071428587
2018-04-28,20.31756944444446
2018-04-29,22.890034722222232
2018-04-30,20.921250000000004
2018-05-01,18.4884375
2018-05-02,17.842986111111106
2018-05-03,19.605069444444442
2018-05-04,19.382499999999993
2018-05-05,19.961493055555568
2018-05-06,21.501979166666676
2018-05-07,21.159201388888917
2018-05-08,21.870625
2018-05-09,22.748576388888893
2018-05-10,22.498229166666693
2018-05-11,18.516215277777768
2018-05-12,19.956562500000004
2018-05-13,23.25795138888888
2018-05-14,23.135173611111114
2018-05-15,20.540243055555568
2018-05-16,21.58149305555552
2018-05-17,20.777569444444467
2018-05-18,18.861284722222226
2018-05-19,22.09128472222221
2018-05-20,22.29347222222223
2018-05-21,21.855173611111127
2018-05-22,22.90121527777781
2018-05-23,23.980277777777776
